epoch,lr,train_loss,val_loss,val_acc,imgs_per_sec,epoch_time,peak_mem_gb
1,0.0002,5.296228946783604,5.283763870239258,0.92,1183.7245559223568,75.90955138206482,17.442830562591553
2,0.0004,5.256096638845243,5.2245549392700195,3.48,1270.2734941039082,70.7375226020813,10.927809238433838
3,0.0006,5.150011396815634,5.069788165283203,12.77,1270.2174785197224,70.74064207077026,10.927809238433838
4,0.0008,4.888875962662222,4.67106683807373,27.64,1264.293304989282,71.07211565971375,10.927809238433838
5,0.001,4.328066907377324,3.8623939735412596,40.0,1264.5262788234365,71.05902147293091,10.927809238433838
6,0.001,3.6006473897189495,3.1474148170471192,49.96,1267.433997974451,70.89599943161011,10.927809238433838
7,0.000999934441832816,3.0604319586033837,2.70295565032959,57.34,1264.755849707613,71.04612326622009,10.927809238433838
8,0.0009997377845227576,2.708903993976082,2.4229027080535888,62.26,1274.3396253434528,70.51181507110596,10.927809238433838
9,0.0009994100796397952,2.4779830420458757,2.2443977787017824,65.4,1269.648158694517,70.77236270904541,10.927809238433838
10,0.0009989514131188558,2.32233000616742,2.1162705924987795,68.08,1267.3099005592994,70.90294170379639,10.927809238433838
11,0.0009983619052372848,2.204587235749617,2.027111487579346,69.63,1266.4364216563054,70.95184445381165,10.927809238433838
12,0.0009976417105833069,2.1167446731502175,1.953981121444702,70.95,1268.393186083835,70.84238624572754,10.927809238433838
13,0.000996791018015489,2.047441408505127,1.8998492359161376,71.95,1264.3833775160708,71.06705260276794,10.927809238433838
14,0.0009958100506132126,1.9886075764300137,1.8526282859802246,72.98,1265.1506506687506,71.02395272254944,10.927809238433838
15,0.000994699065618178,1.9352177001132584,1.8126845481872558,73.98,1272.7030106588834,70.60248875617981,10.927809238433838
16,0.0009934583543669453,1.8958684613562038,1.7827203998565673,74.48,1264.4207149749889,71.06495404243469,10.927809238433838
17,0.0009920882422145372,1.8607626657540302,1.7551295684814454,75.19,1264.6095909556502,71.05434012413025,10.927809238433838
18,0.0009905890884491196,1.8311469296784142,1.732455017852783,75.63,1264.0780032436953,71.08422088623047,10.927809238433838
19,0.0009889612861977853,1.803045612454754,1.7142046903610229,76.24,1262.7077429235862,71.1613597869873,10.927809238433838
20,0.000987205262323463,1.774805842641412,1.6957210075378417,76.41,1267.5060263640235,70.89197063446045,10.927809238433838
21,0.0009853214773129797,1.7561174502060284,1.679813938522339,76.85,1266.5719852241898,70.9442503452301,10.927809238433838
22,0.0009833104251563056,1.7371037335816952,1.6651696949005126,77.18,1270.0701422498826,70.74884843826294,10.927809238433838
23,0.0009811726332170153,1.714158044241772,1.652667066192627,77.5,1267.3853883403924,70.89871859550476,10.927809238433838
24,0.0009789086620939935,1.6994388585756308,1.641333615875244,77.66,1268.3439052692906,70.84513878822327,10.927809238433838
25,0.0009765191054744304,1.6848933197494247,1.6324071432113647,77.8,1266.958027053426,70.9226336479187,10.927809238433838
26,0.0009740045899781352,1.6697728661050824,1.621490990638733,77.98,1265.742404775753,70.99074792861938,10.927809238433838
27,0.0009713657749932171,1.6576817779459505,1.613165804862976,78.36,1272.806437252006,70.59675168991089,10.927809238433838
28,0.0009686033525031719,1.642340050463663,1.6052669492721559,78.52,1266.3114090140296,70.95884895324707,10.927809238433838
29,0.0009657180469054212,1.6309518389552407,1.5978913160324097,78.66,1270.0170419405652,70.75180649757385,10.927809238433838
30,0.0009627106148213521,1.618935531360811,1.590694406890869,78.7,1269.8980991526519,70.75843334197998,10.927809238433838
31,0.0009595818448979061,1.6062332853632435,1.5845094890594482,78.86,1266.4185909845198,70.95284342765808,10.927809238433838
32,0.0009563325576007701,1.5977482595335044,1.5816919208526612,79.04,1269.3344008112674,70.78985643386841,10.927809238433838
33,0.0009529636049992234,1.588612026638455,1.5720630851745605,79.29,1269.0165250006,70.80758857727051,10.927809238433838
34,0.0009494758705426977,1.5813835207213702,1.5680301374435426,79.42,1266.9553267920728,70.92278480529785,10.927809238433838
35,0.0009458702688291072,1.5700332191255357,1.5632095443725587,79.53,1265.8857707815548,70.98270797729492,10.927809238433838
36,0.0009421477453650118,1.5619436522834322,1.5583401638031005,79.81,1267.443068207593,70.89549207687378,10.927809238433838
37,0.000938309276317674,1.5552175031428324,1.5530750709533692,79.71,1263.0461098046137,71.14229583740234,10.927809238433838
38,0.0009343558682590756,1.5473194010237343,1.5479384105682372,80.05,1261.197740345313,71.24655961990356,10.927809238433838
39,0.0009302885579019626,1.5384449507096554,1.5465300392150878,80.0,1265.817693175556,70.9865255355835,10.927809238433838
40,0.0009261084118279846,1.5322117482834732,1.5406186038970948,80.19,1268.0746507990166,70.8601815700531,10.927809238433838
41,0.0009218165262080023,1.524725073423141,1.5392555545806885,80.19,1266.3585448896658,70.95620775222778,10.927809238433838
42,0.0009174140265146356,1.518567698633569,1.535758395576477,80.23,1264.2343211401508,71.07543158531189,10.927809238433838
43,0.0009129020672271282,1.5110770830741296,1.5321729526519776,80.48,1258.6187299755916,71.39254951477051,10.927809238433838
44,0.0009082818315286055,1.5055590443461708,1.5300608642578124,80.56,1266.4253189188757,70.95246648788452,10.927809238433838
45,0.0009035545309958046,1.4994999061622512,1.5276721578598023,80.58,1272.0214939463467,70.6403157711029,10.927809238433838
46,0.0008987214052813603,1.4919110604500838,1.5242898891448975,80.59,1268.2996817198054,70.84760904312134,10.927809238433838
47,0.0008937837217887272,1.4873603195206733,1.520885800933838,80.6,1264.5907126993243,71.05540084838867,10.927809238433838
48,0.0008887427753398248,1.480845316522821,1.5178824584960937,80.68,1262.379138695228,71.17988348007202,10.927809238433838
49,0.000883599887835493,1.4732429543112078,1.5167002109527588,80.88,1266.7298615075838,70.93540835380554,10.927809238433838
50,0.0008783564079088476,1.4691994516258566,1.5133235633850097,80.71,1268.727286748492,70.82373094558716,10.927809238433838
51,0.0008730137105716231,1.4662642285355136,1.5105692594528197,80.78,1262.8368942263396,71.15408205986023,10.927809238433838
52,0.0008675731968536002,1.4607524148419373,1.5092310167312621,80.88,1271.0108778541612,70.69648385047913,10.927809238433838
53,0.0008620362934352109,1.4542697702038323,1.5068730602264404,80.95,1261.2012433335597,71.24636173248291,10.927809238433838
54,0.0008564044522734146,1.452141937706885,1.506415643310547,80.91,1270.066713942371,70.7490394115448,10.927809238433838
55,0.0008506791502209496,1.4425788010627116,1.5040036945343018,81.02,1264.4546650466887,71.06304597854614,10.927809238433838
56,0.0008448618886390522,1.440517527425391,1.5034731605529785,80.83,1263.8633808936918,71.09629201889038,10.927809238433838
57,0.0008389541930037516,1.4347556438880769,1.5024288568496704,80.96,1265.2709273298221,71.01720118522644,10.927809238433838
58,0.0008329576125058406,1.4300945681384487,1.49920689163208,81.1,1267.2160487989738,70.9081928730011,10.927809238433838
59,0.0008268737196446263,1.4280867919623004,1.499246411895752,81.07,1265.6565928742789,70.99556112289429,10.927809238433838
60,0.00082070410981557,1.4241294212151117,1.4970082263946534,81.02,1266.529383335775,70.94663667678833,10.927809238433838
61,0.0008144504008919223,1.4187707507032954,1.4955925464630127,81.1,1268.9006361536285,70.81405544281006,10.927809238433838
62,0.0008081142328004637,1.4139364934035517,1.4952036792755128,81.17,1262.5875639201834,71.16813325881958,10.927809238433838
63,0.0008016972670914624,1.4116683855355634,1.4923761392593384,81.2,1267.8742330099144,70.87138271331787,10.927809238433838
64,0.0007952011865029613,1.409677439265781,1.4917151842117309,81.36,1263.5328321425065,71.11489129066467,10.927809238433838
65,0.0007886276945195098,1.403424801310243,1.4905654314041137,81.18,1265.2643178482513,71.01757216453552,10.927809238433838
66,0.0007819785149254532,1.3990593632401904,1.4879718311309815,81.21,1265.1994118204875,71.02121543884277,10.927809238433838
67,0.0007752553913529018,1.392945963432986,1.4874402069091797,81.29,1267.4581912346016,70.89464616775513,10.927809238433838
68,0.0007684600868244919,1.3913139987874914,1.4863768619537354,81.3,1263.9696189610484,71.09031629562378,10.927809238433838
69,0.000761594383291065,1.3882646761049233,1.4845861726760865,81.39,1266.9071371548969,70.92548251152039,10.927809238433838
70,0.0007546600811643815,1.3871403976723,1.4848473155975341,81.28,1262.3921452848392,71.1791501045227,10.927809238433838
71,0.0007476589988449939,1.381131756679285,1.4844658279418945,81.3,1256.7571900560465,71.4982979297638,10.927809238433838
72,0.0007405929722454026,1.3802654186205308,1.481686457824707,81.28,1266.1718303060206,70.96667122840881,10.927809238433838
73,0.0007334638543086203,1.3757687776516645,1.4821207153320313,81.34,1269.5335699571147,70.77875065803528,10.927809238433838
74,0.0007262735145222696,1.375817020054896,1.4799596138000488,81.44,1263.608340878856,71.11064171791077,10.927809238433838
75,0.0007190238384283411,1.3728169430355062,1.4800438835144043,81.44,1265.2172676410453,71.02021312713623,10.927809238433838
76,0.0007117167271287453,1.364756184086161,1.4794853527069092,81.45,1269.224792731486,70.79596972465515,10.927809238433838
77,0.0007043540967867782,1.3655972918893537,1.4788482387542725,81.32,1261.172304169745,71.24799656867981,10.927809238433838
78,0.0006969378781246436,1.3599255404241404,1.4763620918273925,81.51,1265.5420180375393,71.00198864936829,10.927809238433838
79,0.0006894700159171534,1.3605370980042677,1.4775872276306152,81.42,1269.8616013003902,70.76046705245972,10.927809238433838
80,0.0006819524684817438,1.3564330964346556,1.4756884040832519,81.6,1265.0372841590192,71.03031754493713,10.927809238433838
81,0.000674387207164941,1.353172378662305,1.4755215969085693,81.5,1265.7164831521845,70.99220180511475,10.927809238433838
82,0.0006667762158254104,1.3507279194997586,1.476114725112915,81.51,1262.7924191935194,71.15658807754517,10.927809238433838
83,0.0006591214903137221,1.3470971492620616,1.474146828842163,81.63,1262.4977808973244,71.17319440841675,10.927809238433838
84,0.0006514250379489753,1.3460788624918358,1.4737419616699219,81.64,1265.6857382014794,70.99392628669739,10.927809238433838
85,0.0006436888769924141,1.3434117526410312,1.4736682231903075,81.49,1269.3937589162508,70.78654623031616,10.927809238433838
86,0.0006359150361181715,1.3376980507136071,1.472954228591919,81.6,1268.3444601640315,70.84510779380798,10.927809238433838
87,0.0006281055538812861,1.337891387124347,1.47191179523468,81.76,1267.662903351402,70.88319754600525,10.927809238433838
88,0.0006202624781831269,1.3336502721167018,1.472343525314331,81.72,1268.7452764556956,70.82272672653198,10.927809238433838
89,0.0006123878657343648,1.3335365515488844,1.4710197509765626,81.72,1269.295917630951,70.79200267791748,10.927809238433838
90,0.0006044837815156376,1.3311377790918377,1.4700131435394288,81.66,1268.704040121281,70.82502865791321,10.927809238433838
91,0.000596552298236044,1.3274337868405204,1.4708492694854736,81.65,1264.8247002986695,71.04225587844849,10.927809238433838
92,0.0005885954957896114,1.3273866339626474,1.4689085346221924,81.68,1266.0286631787387,70.97469639778137,10.927809238433838
93,0.0005806154607098799,1.3247409097829097,1.4689056995391845,81.85,1269.325076911643,70.79037642478943,10.927809238433838
94,0.0005726142856227452,1.321819711614538,1.4682484285354613,81.78,1260.150911294293,71.30574536323547,10.927809238433838
95,0.0005645940686977032,1.3208790864699926,1.4676614910125731,81.89,1268.4207158559968,70.84084868431091,10.927809238433838
96,0.0005565569130976422,1.3220835944526217,1.4686193634033202,81.76,1267.0742641978848,70.9161274433136,10.927809238433838
97,0.0005485049264273241,1.3178194683161897,1.467895722579956,81.75,1266.5749264734106,70.94408559799194,10.927809238433838
98,0.0005404402201807021,1.3145893146509458,1.4662795473098755,81.71,1265.6748823984558,70.99453520774841,10.927809238433838
99,0.0005323649091872179,1.3114610805131093,1.4671497413635255,81.71,1263.9611536788484,71.09079241752625,10.927809238433838
100,0.0005242811110572242,1.3087654069617942,1.466284059524536,81.82,1267.3072840267391,70.90308809280396,10.927809238433838
101,0.000516190945626678,1.307347019513448,1.467097908782959,81.75,1264.504789596064,71.06022906303406,10.927809238433838
102,0.0005080965344012508,1.310027839451434,1.4653399032592773,81.79,1264.148450698973,71.0802595615387,10.927809238433838
103,0.0005,1.3061589525635766,1.4662014366149903,81.65,1267.049915203593,70.91749024391174,10.927809238433838
104,0.0004919034655987492,1.3032286832814883,1.4660335525512695,81.9,1267.9665356595483,70.86622357368469,10.927809238433838
105,0.00048380905437332217,1.2996432842352452,1.4658219165802002,81.74,1264.468728368105,71.06225562095642,10.927809238433838
106,0.000475718888942776,1.2986572749933964,1.4649269214630127,81.68,1262.4105097264646,71.17811465263367,10.927809238433838
107,0.00046763509081278214,1.2979744149748755,1.4649815773010253,81.73,1258.99194301155,71.37138605117798,10.927809238433838
108,0.00045955977981929796,1.2966132812690192,1.465377491760254,81.88,1263.0414960304129,71.14255571365356,10.927809238433838
