epoch,lr,train_loss,train_kd_loss,train_hard_loss,train_feat_loss,val_loss,val_acc,imgs_per_sec,epoch_time,peak_mem_gb
1,0.0002,2.375006484170245,2.373634301699125,5.403001396744339,0.0006860912355602297,5.350567550659179,0.53,1143.876992806044,78.55390095710754,6.999970436096191
2,0.0004,2.265450192312909,2.2640830227452464,5.249322008203577,0.0006835847838312133,5.188626807403565,1.66,1415.8421823170704,63.46470046043396,3.4515929222106934
3,0.0006,2.1750154474861603,2.1736456125210495,5.071461267281122,0.000684917482555422,4.94114687423706,5.69,1427.4067184895596,62.950523376464844,3.4515929222106934
4,0.0008,2.040492055083272,2.039108251914,4.775939927821145,0.0006919015846361122,4.5669189506530765,14.4,1381.2224869081435,65.05541348457336,3.4515929222106934
5,0.001,1.8813149898480146,1.8799154333918862,4.39754919448809,0.0006997782280642083,4.141368642425537,24.35,1373.033118822513,65.4434323310852,3.4515929222106934
6,0.001,1.737780599172978,1.7363716092204775,4.048921178209136,0.0007044949762501948,3.8015700263977052,31.77,1377.8739053924096,65.21351456642151,3.4515929222106934
7,0.0009997207818651273,1.6231491443438408,1.6217349051070689,3.765453924820294,0.0007071196183859453,3.526806965637207,38.3,1374.2378075902445,65.38606309890747,3.4515929222106934
8,0.0009988834393115766,1.5277148743300697,1.526297695276744,3.5324364577942764,0.0007085895266627993,3.3029756675720217,43.49,1393.5653239035075,64.47921633720398,3.4515929222106934
9,0.0009974889075442521,1.446053948837128,1.4446356721073814,3.3363906277550592,0.0007091383648733807,3.118477438354492,47.93,1373.0749679238604,65.44143772125244,3.4515929222106934
10,0.00099553874407739,1.3792847561360764,1.3778653762958668,3.1758729745859435,0.0007096899201048066,2.9682457969665528,51.09,1317.1967146693678,68.21760106086731,3.4515929222106934
11,0.0009930351269950143,1.3217916991296317,1.3203718383767327,3.0381667810967166,0.0007099303764495415,2.8461208095550536,53.49,1362.3180954003778,65.95816373825073,3.4515929222106934
12,0.0009899808525182935,1.2741499517717931,1.2727298193168097,2.9249622291988797,0.0007100662274917645,2.743864379119873,55.26,1385.838328766625,64.83873200416565,3.4515929222106934
13,0.0009863793318825185,1.233743014838281,1.232322159655753,2.8281829920929042,0.0007104275912640781,2.658495241546631,56.99,1390.5773805482957,64.61776328086853,3.4515929222106934
14,0.0009822345875271884,1.1997193444488394,1.198298894102417,2.748763455964222,0.0007102251732111657,2.5896866996765135,58.65,1388.3675515110851,64.72061371803284,3.4515929222106934
15,0.0009775512486034563,1.1696035505360007,1.1681832795129543,2.678829140133328,0.0007101355115232984,2.5305121017456056,59.31,1378.9061139610167,65.16469764709473,3.4515929222106934
16,0.0009723345458039594,1.1440966003640765,1.1426762858686963,2.6197712679534217,0.0007101572476900541,2.4816636100769043,60.39,1395.732882823676,64.3790807723999,3.4515929222106934
17,0.0009665903055208013,1.1215899904229363,1.120169434112701,2.5664904953068137,0.0007102781551176327,2.4394382987976075,61.24,1404.568869439831,63.97407913208008,3.4515929222106934
18,0.0009603249433382144,1.101695340922755,1.1002750427295,2.5229850012352664,0.0007101490966275207,2.404707478713989,61.79,1405.3838742051908,63.93697953224182,3.4515929222106934
19,0.0009535454568671704,1.085290927492995,1.0838707080933443,2.485001329003576,0.000710109699825276,2.3708459621429445,62.56,1399.2126819656746,64.21897196769714,3.4515929222106934
20,0.0009462594179299406,1.0695456964337928,1.0681252297852453,2.4495730406878002,0.000710233324273699,2.343608253097534,63.08,1401.680201928208,64.10592079162598,3.4515929222106934
21,0.0009384749641033358,1.0554406884049419,1.054020159264915,2.4179589456302826,0.0007102645700134103,2.3165213230133057,63.73,1431.6035587078306,62.7659797668457,3.4515929222106934
22,0.0009302007896300697,1.0434728404055973,1.0420524849850907,2.391553638327835,0.0007101776253463875,2.2947451511383057,63.94,1398.414893510444,64.25560855865479,3.4515929222106934
23,0.0009214461357083985,1.030080744513759,1.0286605222272738,2.362263021306095,0.0007101110583356982,2.27695308303833,64.5,1393.0464600668322,64.50323271751404,3.4515929222106934
24,0.0009122207801708802,1.0193850360704624,1.0179645368176649,2.338323171322162,0.0007102496263987658,2.2579420093536378,64.8,1384.3427937592735,64.90877866744995,3.4515929222106934
25,0.0009025350265637815,1.0106261430302916,1.0092062770131647,2.319716958238868,0.000709933093470386,2.2389803245544435,65.13,1371.2609682074387,65.52800822257996,3.4515929222106934
26,0.0008923996926393305,1.0014525988163092,1.0000325290226189,2.2977867547603075,0.0007100349817520533,2.2268057514190676,65.36,1381.206465932101,65.05616807937622,3.4515929222106934
27,0.0008818260982736661,0.9927091528887083,0.9912884743125351,2.279123849678583,0.000710339288086633,2.213855708503723,65.59,1392.175323154247,64.54359483718872,3.4515929222106934
28,0.0008708260528239789,0.9837522829360092,0.9823319793087125,2.261128532920468,0.0007101518136483652,2.199457872200012,65.89,1378.7895890217694,65.1702048778534,3.4515929222106934
29,0.0008594118419389648,0.9772917040732512,0.9758717945837907,2.246371541607414,0.0007099548296371417,2.1871668842315675,66.02,1372.291273682135,65.47881031036377,3.4515929222106934
30,0.0008475962138373213,0.9697118376055335,0.9682917000561359,2.2291465512028448,0.0007100689445126091,2.174512873458862,66.21,1401.585748044685,64.1102409362793,3.4515929222106934
31,0.0008353923650696118,0.9644269727573775,0.9630069408321652,2.218636685287171,0.0007100159626061421,2.163822200202942,66.63,1422.1963578348887,63.18114900588989,3.4515929222106934
32,0.0008228139257794012,0.9579796220502282,0.956559503180349,2.2044053335814735,0.0007100594349396535,2.15430707321167,66.62,1434.332887051808,62.64654517173767,3.4515929222106934
33,0.0008098749444801224,0.9499134760976178,0.9484932920192382,2.1871067125912744,0.000710092039189787,2.145918144607544,66.88,1431.176124256173,62.78472542762756,3.4515929222106934
34,0.0007965898723646776,0.945102986616966,0.9436825498556479,2.176823169077903,0.0007102183806590545,2.1386253410339355,66.96,1417.658033398013,63.38340973854065,3.4515929222106934
35,0.0007829735471652976,0.9420955986039251,0.9406755530936086,2.1715346489876426,0.0007100227551582532,2.130542910385132,67.22,1330.4943362181705,67.53580045700073,3.4515929222106934
36,0.0007690411765816864,0.9355960423790152,0.9341755159560092,2.156852303407131,0.0007102632115029881,2.1258187479019166,67.17,1321.1921934311226,68.01130104064941,3.4515929222106934
37,0.0007548083212959587,0.9325173534559049,0.9310973215306926,2.1515214623209418,0.0007100159626061421,2.120704624938965,67.46,1284.9296772184207,69.93067526817322,3.4515929222106934
38,0.0007402908775933419,0.9281128225503145,0.9266928775697691,2.142608249968613,0.0007099724902726307,2.110452687072754,67.75,1317.7178648144081,68.1906213760376,3.4515929222106934
39,0.0007255050596080509,0.924375894911948,0.9229556483420891,2.1331460302711553,0.0007101232849294983,2.1048955432891847,67.85,1386.108487893513,64.82609462738037,3.4515929222106934
40,0.0007104673812141675,0.9192980794485478,0.9178779143893141,2.1229751290079535,0.0007100825296168314,2.1019724342346193,67.83,1419.8167320555826,63.28704118728638,3.4515929222106934
41,0.0006951946375817474,0.915231480897322,0.9138108648126282,2.1133215281358813,0.0007103080423469217,2.092481371307373,68.07,1401.7010231113238,64.10496854782104,3.4515929222106934
42,0.0006797038864187564,0.9129841728427811,0.9115640132175891,2.10916123159251,0.0007100798125959869,2.090990654373169,68.02,1317.890685444925,68.18167924880981,3.4515929222106934
43,0.0006640124289197845,0.9090422011508561,0.9076223838702906,2.1009330399695285,0.0007099086402827858,2.0863564403533936,68.11,1328.9706155765032,67.61323308944702,3.4515929222106934
44,0.000648137790442817,0.9069249156193856,0.905504400064463,2.0975878860196495,0.0007102577774612992,2.082264910507202,68.23,1330.4631865500726,67.53738164901733,3.4515929222106934
45,0.0006320977009356432,0.9032799200794296,0.901859578413841,2.0882669388398827,0.0007101708327942765,2.078390723800659,68.17,1308.0754683776997,68.69328427314758,3.4515929222106934
46,0.0006159100751337642,0.8995895107247551,0.898169109284708,2.0818509461193684,0.0007102007200235655,2.0750236562728883,68.27,1342.5594934916994,66.92887759208679,3.4515929222106934
47,0.000599592992551918,0.8970088089293564,0.89558857051056,2.0773081585892244,0.0007101192093982317,2.0698284074783326,68.38,1402.714292662502,64.05866146087646,3.4515929222106934
48,0.0005831646772915651,0.893617909688216,0.8921973914162725,2.069324343632429,0.0007102591359717214,2.064466505432129,68.58,1395.5797039532758,64.38614702224731,3.4515929222106934
49,0.0005666434776868895,0.8926799798283482,0.8912594235181129,2.067435816821889,0.0007102781551176327,2.062894426727295,68.52,1395.7776985744656,64.37701368331909,3.4515929222106934
50,0.0005500478458120492,0.8910099093051378,0.8895899996458635,2.063621933304007,0.0007099548296371417,2.0577110151290894,68.72,1401.1481006876934,64.13026571273804,3.4515929222106934
51,0.0005333963168725609,0.8875560981255991,0.8861354494366551,2.055974391790537,0.0007103243444719885,2.056127182388306,68.74,1417.5565140049325,63.387948989868164,3.4515929222106934
52,0.0005167074885038374,0.8854378534857704,0.8840176503882449,2.0516479083275865,0.0007101015487627426,2.0530202451705932,68.72,1422.7505467232725,63.15653872489929,3.4515929222106934
53,0.0005,0.8827468915882274,0.8813264385247842,2.0460676532185653,0.0007102265317215879,2.0503034191131593,68.85,1409.997755254921,63.727761030197144,3.4515929222106934
54,0.0004832925114961629,0.8808826158868621,0.8794619807830224,2.042847517209175,0.0007103175519198773,2.047969031906128,68.93,1425.344620901536,63.04159617424011,3.4515929222106934
55,0.0004666036831274392,0.8798776870099907,0.8784569540934005,2.0398184628228515,0.0007103664582950777,2.0459572462081907,69.1,1429.8040916378595,62.84497332572937,3.4515929222106934
56,0.0004499521541879508,0.8775817524333964,0.8761615357507667,2.036013238450401,0.0007101083413148538,2.045243067550659,69.0,1423.305850324848,63.131898164749146,3.4515929222106934
57,0.00043335652231311076,0.8768454925966399,0.8754250232310716,2.03457719681949,0.0007102346827841213,2.041152006149292,69.01,1424.7704087608772,63.06700325012207,3.4515929222106934
58,0.000416835322708435,0.874479876114772,0.8730591975385986,2.029269489128026,0.000710339288086633,2.0394097108840943,69.0,1417.7959362205359,63.37724471092224,3.4515929222106934
59,0.00040040700744808206,0.8736248398438479,0.8722041259464036,2.0276957675602363,0.000710356948722122,2.037907978630066,69.0,1412.5654728475347,63.611918687820435,3.4515929222106934
60,0.00038408992486623584,0.8726546000211667,0.8712342882428075,2.02645824879323,0.0007101558891796319,2.0381230777740478,68.97,1405.8867031926095,63.914111852645874,3.4515929222106934
61,0.000367902299064357,0.869385636939622,0.867964849682615,2.0183553233785165,0.0007103936285035223,2.034139435195923,69.03,1408.5093473329016,63.795103788375854,3.4515929222106934
62,0.00035186220955718306,0.8687397880092306,0.8673194110223711,2.01816972674128,0.0007101884934297654,2.033833591079712,69.03,1395.866992328019,64.37289547920227,3.4515929222106934
63,0.00033598757108021545,0.868318719401998,0.8668980870151791,2.0173318148338555,0.0007103161934094551,2.0304282632827757,69.12,1411.069528595619,63.679356813430786,3.4515929222106934
64,0.00032029611358124366,0.8660075450554873,0.8645867713835844,2.012823776641802,0.0007103868359514112,2.029272657775879,69.34,1395.139069400909,64.40648245811462,3.4515929222106934
65,0.00030480536241825264,0.8657006320790348,0.8642802849794046,2.0121893583879173,0.0007101735498151209,2.028850937652588,69.16,1426.143537721126,63.00628066062927,3.4515929222106934
66,0.0002895326187858326,0.8634093673820169,0.8619890066972825,2.0066238736834623,0.000710180342367232,2.030559011077881,69.22,1393.7672882896352,64.46987295150757,3.4515929222106934
67,0.000274494940391949,0.8629289692283696,0.8615081982734876,2.0052488773976296,0.0007103854774409889,2.0272758640289306,69.4,1377.6836162817801,65.22252202033997,3.4515929222106934
68,0.0002597091224066581,0.8625094440587905,0.8610888306911175,2.005798976985138,0.0007103066838364995,2.0258132621765137,69.29,1397.1736781779725,64.3126916885376,3.4515929222106934
69,0.00024519167870404123,0.8618294769882137,0.8604090429439164,2.0020674093496424,0.0007102170221486323,2.0257686153411867,69.3,1421.346358202024,63.21893286705017,3.4515929222106934
70,0.0002309588234183137,0.8611696627404954,0.8597491662047188,2.002772035761776,0.0007102482678883436,2.0224617828369142,69.28,1420.7360661838125,63.246089220047,3.4515929222106934
71,0.00021702645283470234,0.8596783540187738,0.85825815635529,1.9988327620715498,0.0007100988317418982,2.0237580673217774,69.25,1374.080693368141,65.39353942871094,3.4515929222106934
72,0.0002034101276353224,0.8584107870389933,0.8569902171436538,1.9953755425591755,0.0007102849476697438,2.019249707221985,69.17,1397.7063359064293,64.28818249702454,3.4515929222106934
73,0.00019012505551987762,0.8586272573538994,0.8572065353053927,1.9961269869763627,0.0007103610242533888,2.0212352411270142,69.41,1408.690603492249,63.78689527511597,3.4515929222106934
74,0.0001771860742205988,0.8579552827397643,0.8565346775231538,1.9959853198113944,0.0007103026083052328,2.021132292366028,69.34,1402.106100964737,64.08644819259644,3.4515929222106934
75,0.0001646076349303884,0.8566869312202149,0.8552656712015809,1.992611899674788,0.0007106300093169905,2.021981994628906,69.34,1377.5835567826218,65.22725939750671,3.4515929222106934
76,0.00015240378616267886,0.8558097928337901,0.8543890381810332,1.9907391417739737,0.0007103773263784555,2.0184353261947634,69.4,1367.2672971112231,65.71940994262695,3.4515929222106934
77,0.00014058815806103543,0.8575175681345144,0.8560966069881732,1.9955482058375649,0.0007104805731705451,2.0196241802215575,69.38,1430.9375950126182,62.795191287994385,3.4515929222106934
78,0.00012917394717602121,0.8567263645324272,0.8553058027881503,1.9935011693894693,0.0007102808721384771,2.0162723278045656,69.33,1430.6368258422622,62.8083930015564,3.4515929222106934
79,0.00011817390172633402,0.8547382682476967,0.8533175896715235,1.9879993047469702,0.000710339288086633,2.015538471031189,69.51,1373.0199033202725,65.44406223297119,3.4515929222106934
80,0.00010760030736066951,0.8549355463764267,0.8535151693895672,1.9891263701637247,0.0007101884934297654,2.018770433998108,69.33,1363.4400942814277,65.90388560295105,3.4515929222106934
81,9.746497343621857e-05,0.8550923658572032,0.8536716954320924,1.988215472283866,0.0007103352125553664,2.0171352390289305,69.37,1402.2863388475705,64.07821106910706,3.4515929222106934
82,8.777921982911996e-05,0.8551874758511188,0.8537669086728001,1.9900654686821833,0.0007102835891593216,2.01825395488739,69.22,1425.737128382433,63.02424073219299,3.4515929222106934
83,7.85538642916015e-05,0.8547611530350144,0.8533404744588412,1.9891187648827533,0.000710339288086633,2.017592184448242,69.46,1416.4899814995395,63.43567633628845,3.4515929222106934
84,6.979921036993042e-05,0.8536842648799603,0.8522634015463696,1.98720363504187,0.0007104316667953448,2.015519954109192,69.38,1393.777158931674,64.46941637992859,3.4515929222106934
85,6.152503589666425e-05,0.853582068386241,0.8521613273185882,1.9871057302523882,0.0007103705338263443,2.0159116222381592,69.39,1349.3876956688148,66.59020256996155,3.4515929222106934
86,5.374058207005944e-05,0.8536874910025855,0.8522669346923502,1.9864326508296521,0.0007102781551176327,2.015316893196106,69.44,1415.104424458072,63.49778747558594,3.4515929222106934
87,4.645454313282965e-05,0.852678486085006,0.8512579026045622,1.9843799222228873,0.000710291740221855,2.015104513168335,69.48,1436.0598130160813,62.57120990753174,3.4515929222106934
88,3.9675056661785556e-05,0.8528703067377422,0.8514497938998404,1.985101714093461,0.000710256418950877,2.014316435050964,69.45,1406.0948150241181,63.90465211868286,3.4515929222106934
89,3.340969447919873e-05,0.8537822314816662,0.8523616371331392,1.9873667982568768,0.0007102971742635438,2.013367365646362,69.5,1344.1935703555332,66.84751510620117,3.4515929222106934
90,2.7665454196040662e-05,0.8525362694025719,0.8511156669029822,1.9829130532734753,0.0007103012497948106,2.0128442869186403,69.35,1409.817064387464,63.735928773880005,3.4515929222106934
91,2.2448751396543787e-05,0.8532006261695144,0.8517800073677998,1.986207405726115,0.000710309400857344,2.017454021644592,69.47,1425.2651525092267,63.04511117935181,3.4515929222106934
92,1.776541247281177e-05,0.8523075111910828,0.8508868135957637,1.982551839276936,0.0007103487976595886,2.0153014678955077,69.42,1420.5063633255954,63.25631642341614,3.4515929222106934
93,1.3620668117481471e-05,0.8524641416690968,0.8510432701844436,1.9843579095992607,0.0007104357423266115,2.0160233184814453,69.51,1400.2566599881002,64.17109274864197,3.4515929222106934
94,1.0019147481706625e-05,0.8528678834947765,0.851447751039793,1.9849166710492212,0.0007100662274917645,2.0139938591003417,69.48,1394.1961741680916,64.45004057884216,3.4515929222106934
95,6.964873004985717e-06,0.8528057209446899,0.851385140181267,1.9843160399684199,0.0007102903817114328,2.0161112272262574,69.45,1423.378149580663,63.12869143486023,3.4515929222106934
96,4.461255922609986e-06,0.8517362764078668,0.8503158151933611,1.9831836179450706,0.0007102306072528546,2.0135847248077394,69.5,1427.833348338431,62.93171405792236,3.4515929222106934
97,2.511092455747932e-06,0.8531304186905212,0.8517097808696605,1.9873118889637482,0.0007103189104302995,2.0148105926513673,69.5,1414.9072143684025,63.50663781166077,3.4515929222106934
98,1.1165606884234182e-06,0.8522678985554948,0.8508471574878421,1.9836945554130099,0.0007103705338263443,2.0132992557525635,69.54,1400.263391996851,64.17078423500061,3.4515929222106934
99,2.792181348726941e-07,0.852536482858522,0.8511160705503915,1.9842233956709208,0.0007102061540652544,2.012936702156067,69.55,1428.6993210592705,62.893569469451904,3.4515929222106934
100,0.0,0.8530032869078156,0.8515828148252265,1.9860646327336628,0.0007102360412945435,2.0143463256835936,69.38,1367.2578777416068,65.71986269950867,3.4515929222106934
