Training on: NVIDIA A100-SXM4-80GB
GPUs used: 1
Train: 90,000 | Val: 10,000 | Benchmark: 10,000
Classes: 200
ResNet50 params: 23.9M

 Epoch         LR  TrainLoss   ValLoss   ValAcc    Img/s   PeakGB   Time
    93    0.00058     1.3252    1.4693   81.75%     1500    10.93    60s
    94    0.00057     1.3220    1.4685   81.71%     1504    10.93    60s
    95    0.00056     1.3218    1.4682   81.71%     1501    10.93    60s
    96    0.00056     1.3229    1.4685   81.74%     1502    10.93    60s
    97    0.00055     1.3181    1.4685   81.76%     1504    10.93    60s
    98    0.00054     1.3145    1.4664   81.69%     1496    10.93    60s
    99    0.00053     1.3115    1.4675   81.69%     1502    10.93    60s
   100    0.00052     1.3092    1.4665   81.72%     1494    10.93    60s
   101    0.00052     1.3081    1.4671   81.78%     1491    10.93    60s
   102    0.00051     1.3106    1.4653   81.90%     1498    10.93    60s
   103    0.00050     1.3064    1.4660   81.70%     1501    10.93    60s
   104    0.00049     1.3038    1.4660   81.73%     1496    10.93    60s
   105    0.00048     1.3002    1.4663   81.66%     1496    10.93    60s
   106    0.00048     1.2994    1.4653   81.72%     1503    10.93    60s
   107    0.00047     1.2984    1.4649   81.74%     1499    10.93    60s
   108    0.00046     1.2970    1.4656   81.80%     1500    10.93    60s
   109    0.00045     1.2951    1.4640   81.78%     1497    10.93    60s
   110    0.00044     1.2933    1.4649   81.85%     1500    10.93    60s
   111    0.00044     1.2928    1.4646   81.65%     1500    10.93    60s
   112    0.00043     1.2894    1.4638   81.72%     1503    10.93    60s
   113    0.00042     1.2902    1.4635   81.76%     1500    10.93    60s
   114    0.00041     1.2899    1.4643   81.72%     1505    10.93    60s
   115    0.00040     1.2878    1.4650   81.81%     1505    10.93    60s
   116    0.00040     1.2833    1.4647   81.84%     1499    10.93    60s
   117    0.00039     1.2861    1.4637   81.77%     1504    10.93    60s
   118    0.00038     1.2815    1.4641   81.74%     1495    10.93    60s
   119    0.00037     1.2828    1.4628   81.79%     1503    10.93    60s
   120    0.00036     1.2815    1.4634   81.79%     1501    10.93    60s
   121    0.00036     1.2790    1.4635   81.71%     1502    10.93    60s
   122    0.00035     1.2781    1.4631   81.74%     1502    10.93    60s
   123    0.00034     1.2773    1.4610   81.71%     1499    10.93    60s
   124    0.00033     1.2747    1.4607   81.89%     1491    10.93    60s
   125    0.00033     1.2718    1.4611   81.74%     1502    10.93    60s
   126    0.00032     1.2760    1.4636   81.66%     1501    10.93    60s
   127    0.00031     1.2741    1.4630   81.70%     1499    10.93    60s
   128    0.00030     1.2690    1.4625   81.84%     1496    10.93    60s
   129    0.00030     1.2705    1.4613   81.81%     1503    10.93    60s
   130    0.00029     1.2695    1.4622   81.79%     1503    10.93    60s
   131    0.00028     1.2699    1.4623   81.78%     1498    10.93    60s
   132    0.00027     1.2698    1.4629   81.82%     1496    10.93    60s
   133    0.00027     1.2682    1.4605   81.83%     1499    10.93    60s
   134    0.00026     1.2665    1.4599   81.93%     1497    10.93    60s
   135    0.00025     1.2685    1.4619   81.90%     1492    10.93    60s
   136    0.00025     1.2665    1.4613   81.84%     1502    10.93    60s
   137    0.00024     1.2639    1.4615   81.88%     1494    10.93    60s
   138    0.00023     1.2640    1.4619   81.76%     1497    10.93    60s
   139    0.00022     1.2609    1.4618   81.73%     1493    10.93    60s
   140    0.00022     1.2618    1.4616   81.79%     1498    10.93    60s
   141    0.00021     1.2632    1.4608   81.79%     1501    10.93    60s
   142    0.00020     1.2644    1.4606   81.83%     1499    10.93    60s
   143    0.00020     1.2579    1.4621   81.77%     1489    10.93    60s
   144    0.00019     1.2613    1.4611   81.73%     1501    10.93    60s
   145    0.00019     1.2601    1.4611   81.87%     1501    10.93    60s
   146    0.00018     1.2578    1.4607   81.82%     1502    10.93    60s
   147    0.00017     1.2575    1.4593   81.76%     1504    10.93    60s
   148    0.00017     1.2586    1.4612   81.85%     1501    10.93    60s
   149    0.00016     1.2592    1.4604   81.75%     1494    10.93    60s
   150    0.00016     1.2582    1.4586   81.89%     1501    10.93    60s
   151    0.00015     1.2548    1.4606   81.89%     1502    10.93    60s
   152    0.00014     1.2578    1.4610   81.94%     1498    10.93    60s
   153    0.00014     1.2532    1.4600   81.80%     1411    10.93    64s
   154    0.00013     1.2524    1.4602   81.91%     1502    10.93    60s
   155    0.00013     1.2550    1.4594   81.95%     1502    10.93    60s
   156    0.00012     1.2538    1.4595   81.83%     1500    10.93    60s
   157    0.00012     1.2533    1.4597   81.86%     1498    10.93    60s
   158    0.00011     1.2550    1.4605   81.91%     1503    10.93    60s
   159    0.00011     1.2532    1.4582   81.84%     1490    10.93    60s
   160    0.00010     1.2551    1.4583   81.93%     1496    10.93    60s
   161    0.00010     1.2536    1.4606   81.77%     1494    10.93    60s
   162    0.00009     1.2528    1.4586   81.90%     1496    10.93    60s
   163    0.00009     1.2525    1.4594   81.83%     1500    10.93    60s
   164    0.00008     1.2521    1.4592   81.83%     1499    10.93    60s
   165    0.00008     1.2537    1.4600   81.83%     1502    10.93    60s
   166    0.00007     1.2491    1.4585   82.03%     1500    10.93    60s
   167    0.00007     1.2518    1.4601   81.83%     1500    10.93    60s
   168    0.00007     1.2495    1.4597   81.75%     1498    10.93    60s
   169    0.00006     1.2506    1.4594   81.87%     1490    10.93    60s
   170    0.00006     1.2510    1.4604   81.77%     1500    10.93    60s

Early stopping triggered at epoch 170. Best val loss: 1.4586 at epoch 150

Best internal val loss : 1.4586 at epoch 150
Best internal val acc  : 81.89%
Benchmark loss         : 1.4378
Benchmark acc          : 82.19%
Total train time       : 2.84 h
Total wall time        : 2.99 h
Peak GPU memory        : 17.44 GB
Avg imgs/sec           : 1494
Checkpoint             : /data/pjiang18/SLP/ModelCompression/checkpoints/tinyimagenet_resnet50_teacher_best.pth
